ID,Distance,Date,SellerG,Propertycount,Car,Method,CouncilArea,Suburb,Bathroom,Regionname,Address,Type,Postcode,BuildingArea,Lattitude,Bedroom2,Landsize,YearBuilt,Longtitude,Rooms,Price
6527,10.4,1/07/2017,Nelson,3464.0,2.0,S,Moonee Valley City Council,Airport West,1.0,Western Metropolitan,118 Marshall Rd,h,3042.0,101.37,-37.71655,3.0,219.0,1960.0,144.88155,3.0,640000.0
6528,12.5,18/06/2016,Brad,389.0,,SP,Moonee Valley City Council,Strathmore Heights,,Western Metropolitan,9 Glenscott Cr,h,3041.0,,,,,,,4.0,780000.0
6529,16.1,29/07/2017,hockingstuart,8524.0,2.0,S,Banyule City Council,Greensborough,2.0,Northern Metropolitan,14 Glenwood Dr,h,3088.0,,-37.684329999999996,4.0,737.0,,145.11018,4.0,887500.0
6530,9.7,15/10/2016,Frank,3284.0,,S,Moonee Valley City Council,Strathmore,,Western Metropolitan,26 Wallace Cr,h,3041.0,,,,,,,3.0,1175000.0
6531,6.3,18/06/2016,Ray,4836.0,1.0,PI,Stonnington City Council,Armadale,1.0,Southern Metropolitan,7/579 Dandenong Rd,u,3143.0,,-37.8646,2.0,,1966.0,145.0247,2.0,490000.0
6532,13.4,6/01/2018,Noel,2867.0,6.0,S,Whitehorse City Council,Blackburn North,4.0,Eastern Metropolitan,22 Charlton St,h,3130.0,172.0,-37.80554,5.0,870.0,1970.0,145.15549,5.0,1570000.0
6533,10.4,26/08/2017,Jellis,3464.0,3.0,S,Moonee Valley City Council,Airport West,1.0,Western Metropolitan,125 Parer Rd,h,3042.0,,-37.719190000000005,3.0,626.0,,144.87842,3.0,880000.0
6534,8.4,9/12/2017,Marshall,8801.0,2.0,SP,Stonnington City Council,Malvern East,1.0,Southern Metropolitan,40A Sycamore St,h,3145.0,,-37.88003,2.0,,,145.06977,2.0,1052500.0
6535,8.4,24/09/2016,Gunn&Co,5498.0,1.0,S,Hobsons Bay City Council,Newport,1.0,Western Metropolitan,16 Davies St,h,3015.0,140.0,-37.845,2.0,144.0,1995.0,144.8873,2.0,793000.0
6536,7.7,17/02/2018,Garvey,8920.0,2.0,SP,Boroondara City Council,Camberwell,2.0,Southern Metropolitan,,h,3124.0,200.0,-37.84064,5.0,780.0,1970.0,145.09714,5.0,1550000.0
6537,10.5,19/08/2017,Woodards,10579.0,2.0,S,Bayside City Council,Brighton,1.0,Southern Metropolitan,3 Seaview Av,h,3186.0,177.0,-37.93091,4.0,,1925.0,144.99266,4.0,1740000.0
6538,10.2,17/06/2017,Fletchers,2079.0,,S,Boroondara City Council,Mont Albert,,Eastern Metropolitan,21 Kingsley Cr,h,3127.0,,,,,,,3.0,1565000.0
6539,11.2,8/10/2016,Ray,8801.0,2.0,SP,Stonnington City Council,Malvern East,1.0,Southern Metropolitan,55 Emo Rd,h,3145.0,,-37.8747,3.0,789.0,,145.05200000000002,3.0,2210000.0
6540,3.8,22/05/2016,hockingstuart,8648.0,1.0,S,Melbourne City Council,Port Melbourne,1.0,Southern Metropolitan,410/54 Nott St,u,3207.0,70.0,-37.8407,1.0,0.0,2005.0,144.9389,2.0,520000.0
6541,4.1,19/08/2017,LITTLE,7217.0,1.0,SP,Stonnington City Council,Toorak,1.0,Southern Metropolitan,47/145 Canterbury Rd,u,3142.0,26.0,-37.84207,1.0,,1970.0,145.01041,1.0,250000.0
6542,11.4,7/10/2017,Ray,2397.0,1.0,PI,Glen Eira City Council,McKinnon,1.0,Southern Metropolitan,8A Wattle Gr,h,3204.0,,-37.909659999999995,3.0,794.0,,145.0357,6.0,2010000.0
6543,3.8,30/07/2016,hockingstuart,8648.0,,S,Melbourne City Council,Port Melbourne,,Southern Metropolitan,110 Esplanade Pl,h,3207.0,,,,,,,,1325000.0
6544,13.0,12/11/2016,Eview,8870.0,,S,Moreland City Council,Glenroy,1.0,Northern Metropolitan,1/1 Danae St,t,3046.0,106.0,-37.7001,3.0,325.0,1970.0,144.9291,3.0,460000.0
6545,8.4,10/12/2016,Williams,5498.0,1.0,S,Hobsons Bay City Council,Newport,1.0,Western Metropolitan,18/4 Mason St,u,3015.0,65.0,-37.8421,2.0,0.0,2011.0,144.8821,2.0,485000.0
6546,14.0,17/02/2018,RW,4294.0,,SP,Hume City Council,Broadmeadows,,Northern Metropolitan,4/24 Lahinch St,h,3047.0,,,,,,,2.0,345000.0
6547,13.4,17/03/2018,Noel,5713.0,,S,Whitehorse City Council,Blackburn,,Eastern Metropolitan,3/17 Tyrrell Av,u,3130.0,,,,,,,3.0,1070000.0
6548,5.2,28/05/2016,Nelson,11918.0,1.0,,Moreland City Council,Brunswick,1.0,Northern Metropolitan,19 Horne St,h,3056.0,126.0,-37.7738,3.0,346.0,,144.9695,3.0,1550000.0
6549,3.5,18/03/2017,Chambers,6244.0,0.0,S,Moreland City Council,Fitzroy North,1.0,Northern Metropolitan,35 Birkenhead St,h,3068.0,92.0,-37.7819,2.0,136.0,1890.0,144.9824,2.0,1290000.0
6550,7.2,7/10/2017,Chisholm,8989.0,,S,Port Phillip City Council,Elwood,,Southern Metropolitan,7/76 Mitford St,u,3184.0,,,,,,,2.0,525000.0
6551,13.8,14/05/2016,hockingstuart,5301.0,1.0,SP,Hobsons Bay City Council,Altona,1.0,Western Metropolitan,3/25 Rayner St,u,3018.0,,-37.8676,2.0,168.0,,144.8202,2.0,620000.0
6552,2.4,29/07/2017,hockingstuart,14949.0,1.0,S,Yarra City Council,Richmond,1.0,Northern Metropolitan,16/297 Church St,u,3121.0,60.0,-37.8211,2.0,0.0,,144.99896,,666000.0
6553,11.4,9/12/2017,Buxton,6795.0,1.0,VB,Glen Eira City Council,Bentleigh,1.0,Southern Metropolitan,6 Mavho St,h,3204.0,105.0,-37.92092,2.0,717.0,1920.0,145.03388,2.0,1750000.0
6554,31.4,22/07/2017,Buckingham,1160.0,1.0,SP,Yarra Ranges Shire Council,Yarra Glen,2.0,Northern Victoria,15 Yarra St,h,3775.0,180.56,-37.653909999999996,3.0,863.0,1975.0,145.37389,3.0,620000.0
6555,16.1,14/10/2017,Buckingham,915.0,2.0,S,Banyule City Council,St Helena,2.0,Eastern Metropolitan,33 Covala Ct,h,3088.0,,-37.69324,4.0,778.0,1985.0,145.13166,4.0,910000.0
6556,20.6,6/01/2018,Barry,15510.0,1.0,S,Hume City Council,Craigieburn,1.0,Northern Metropolitan,23 Royal Tce,h,3064.0,,-37.57447,3.0,,,144.93348,3.0,480000.0
6557,12.6,4/03/2017,Bells,3755.0,0.0,S,Brimbank City Council,Sunshine,1.0,Western Metropolitan,24 Martin St,h,3020.0,181.0,-37.7864,4.0,726.0,1940.0,144.8353,4.0,1350500.0
6558,10.8,8/04/2017,S&L,3589.0,2.0,S,Maribyrnong City Council,Braybrook,,Western Metropolitan,1 Hinkler St,h,,,-37.7888,3.0,597.0,,144.8511,3.0,925000.0
6559,5.3,25/11/2017,McGrath,11364.0,1.0,SP,Darebin City Council,Northcote,2.0,Northern Metropolitan,14 Separation St,h,3070.0,,-37.7696,3.0,150.0,1900.0,145.0003,3.0,989000.0
6560,16.1,3/09/2017,Noel,4790.0,2.0,S,Manningham City Council,Donvale,2.0,Eastern Metropolitan,4/8 Old Warrandyte Rd,t,3111.0,,-37.79056,3.0,247.0,,145.17512,3.0,1171000.0
6561,17.9,23/09/2017,O'Brien,9758.0,2.0,S,Bayside City Council,Cheltenham,2.0,Southern Metropolitan,72 Wilson St,h,3192.0,134.0,-37.9583,3.0,534.0,1980.0,145.06041000000002,3.0,1160000.0
6562,4.1,3/12/2016,Cayzer,2019.0,2.0,S,,Middle Park,1.0,Southern Metropolitan,198 Page St,h,3206.0,132.0,-37.8516,3.0,277.0,1900.0,144.9624,3.0,2350000.0
6563,7.8,18/06/2016,Jellis,8920.0,,PI,Boroondara City Council,Camberwell,,Southern Metropolitan,31 Halley Av,h,3124.0,,,,,,,4.0,1650000.0
6564,9.9,18/06/2016,hockingstuart,7485.0,,S,Moreland City Council,Pascoe Vale,,Northern Metropolitan,37 Dale Av,h,3044.0,,,,,,,4.0,900000.0
6565,9.5,14/10/2017,Moonee,4502.0,2.0,SP,Moonee Valley City Council,Avondale Heights,1.0,Western Metropolitan,31 MacEy Av,h,3034.0,,-37.76397,3.0,545.0,,144.86538000000002,3.0,900000.0
6566,17.2,7/10/2017,Ray,4280.0,2.0,PI,Whitehorse City Council,Vermont South,2.0,Eastern Metropolitan,27 Mullens Rd,h,3133.0,,-37.85202,4.0,,,145.17336,4.0,1020000.0
6567,12.6,16/04/2016,Barry,3755.0,0.0,S,Brimbank City Council,Sunshine,1.0,Western Metropolitan,1 Boreham St,h,3020.0,118.0,-37.8005,3.0,705.0,1965.0,144.822,3.0,610000.0
6568,7.5,3/09/2017,Nelson,9264.0,2.0,S,Moonee Valley City Council,Essendon,1.0,Western Metropolitan,126 Market St,h,3040.0,,-37.74212,3.0,649.0,,144.89256,3.0,1500000.0
6569,5.3,9/12/2017,Jellis,11364.0,1.0,S,Darebin City Council,Northcote,2.0,Northern Metropolitan,74 Jenkins St,h,3070.0,,-37.76554,3.0,,,145.0102,3.0,1870000.0
6570,5.5,18/03/2017,LITTLE,11364.0,,PI,Darebin City Council,Northcote,,Northern Metropolitan,5/175 Gladstone Av,u,3070.0,,,,,,,1.0,310000.0
6571,11.4,25/02/2017,Woodards,7822.0,1.0,S,Glen Eira City Council,Carnegie,1.0,Southern Metropolitan,8 Yendon Rd,h,3163.0,,-37.8896,3.0,376.0,,145.0492,3.0,1252000.0
6572,12.7,28/10/2017,Fletchers,4168.0,,VB,Banyule City Council,MacLeod,,Northern Metropolitan,30 Dunvegan Cr,h,3085.0,,,,,,,3.0,770000.0
6573,7.8,3/06/2017,Miles,5549.0,1.0,S,Banyule City Council,Ivanhoe,2.0,Eastern Metropolitan,6/40 Magnolia Rd,u,3079.0,145.0,-37.75822,3.0,0.0,2006.0,145.05056000000002,3.0,910000.0
6574,17.9,24/06/2017,Ray,9758.0,2.0,S,Bayside City Council,Cheltenham,1.0,Southern Metropolitan,17 Barclay Dr,h,3192.0,135.0,-37.96257,,533.0,1965.0,145.08252,3.0,877000.0
6575,8.4,15/10/2016,Village,5498.0,0.0,S,Hobsons Bay City Council,Newport,1.0,Western Metropolitan,73 Farm St,h,3015.0,118.0,-37.8415,3.0,221.0,1900.0,144.8852,3.0,923000.0
6576,5.3,28/10/2017,Jellis,11308.0,2.0,S,Boroondara City Council,Hawthorn,2.0,Southern Metropolitan,2/1 Elm St,u,3122.0,144.0,-37.81309,3.0,233.0,1995.0,145.01736,1.0,502000.0
6577,7.0,17/06/2017,McGrath,8870.0,,S,Darebin City Council,Thornbury,,Northern Metropolitan,170 Normanby Av,h,3071.0,,,,,,,3.0,1100000.0
6578,11.2,16/07/2016,Thomson,8801.0,,S,Stonnington City Council,Malvern East,,Southern Metropolitan,1876 Malvern Rd,h,3145.0,,,,,,,3.0,830000.0
6579,9.7,10/02/2018,Purplebricks,7809.0,,S,Boroondara City Council,Balwyn North,,Southern Metropolitan,4/17 Doncaster Rd,u,3104.0,,,,,,,2.0,745000.0
6580,15.2,28/10/2017,Marshall,4497.0,2.0,PI,Bayside City Council,Sandringham,2.0,Southern Metropolitan,55 Abbott St,h,3191.0,,-37.94903,4.0,1839.0,,145.00743,4.0,4600000.0
6581,11.2,3/12/2016,Buxton,10579.0,2.0,S,Bayside City Council,Brighton,3.0,Southern Metropolitan,20 Victoria St,h,3186.0,,-37.9139,4.0,745.0,,144.9878,4.0,3775000.0
6582,4.3,6/01/2018,Nelson,4918.0,,VB,Maribyrnong City Council,Maribyrnong,,Western Metropolitan,5/127 Raleigh Rd,t,3032.0,,,,,,,2.0,540000.0
6583,7.0,19/08/2017,McGrath,8870.0,,PI,Darebin City Council,Thornbury,,Northern Metropolitan,219b Gooch St,t,3071.0,,,,,,,3.0,880000.0
6584,38.0,26/08/2017,hockingstuart,7566.0,2.0,S,Frankston City Council,Frankston South,2.0,South-Eastern Metropolitan,3 Diosma Ct,h,3199.0,242.0,-38.16457,3.0,2405.0,1980.0,145.12421,3.0,1155000.0
6585,20.6,10/03/2018,Ray,15510.0,2.0,S,Hume City Council,Craigieburn,2.0,Northern Metropolitan,13 Creighton Wy,h,3064.0,189.0,-37.578,4.0,584.0,2005.0,144.93653999999998,4.0,613500.0
6586,,27/05/2017,Marshall,11308.0,1.0,PI,Boroondara City Council,Hawthorn,1.0,Southern Metropolitan,36 Bell St,h,3122.0,,-37.81816,3.0,271.0,,145.03938,3.0,1870000.0
6587,4.6,25/02/2017,Jellis,11308.0,0.0,S,Boroondara City Council,Hawthorn,2.0,Southern Metropolitan,59 Mason St,h,3122.0,171.0,-37.8169,3.0,249.0,1890.0,145.02100000000002,3.0,2410000.0
6588,8.2,28/10/2017,Nelson,3284.0,,S,Moonee Valley City Council,Strathmore,,Western Metropolitan,3/17 Mascoma St,u,3041.0,,,,,,,2.0,674000.0
6589,4.5,25/02/2017,Marshall,7717.0,0.0,S,Stonnington City Council,Prahran,1.0,Southern Metropolitan,5 Pickford St,h,3181.0,122.0,-37.8572,2.0,214.0,1915.0,145.0066,2.0,1582000.0
6590,17.9,9/12/2017,HAR,10529.0,1.0,S,Whittlesea City Council,Mill Park,2.0,Northern Metropolitan,10 Sedgman Ct,h,3082.0,135.0,-37.65807,3.0,620.0,1980.0,145.06132,4.0,660000.0
6591,8.4,24/06/2017,Harcourts,14577.0,2.0,S,Darebin City Council,Preston,2.0,Northern Metropolitan,72d Oakover Rd,t,,,-37.74886,3.0,214.0,,144.99225,3.0,875000.0
6592,0.0,25/11/2017,Woodards,17496.0,,S,Melbourne City Council,Melbourne,,Northern Metropolitan,5/27 Flinders La,u,3000.0,,,,,,,1.0,575000.0
6593,12.0,3/03/2018,RW,21650.0,,VB,Darebin City Council,Reservoir,,Northern Metropolitan,3/59 Clingin St,t,3073.0,,,,,,,2.0,480000.0
6594,13.9,19/11/2016,Barry,9028.0,2.0,PI,Manningham City Council,Doncaster,3.0,Eastern Metropolitan,33 Finlayson St,t,3108.0,,-37.7887,4.0,711.0,1960.0,145.1086,4.0,1350000.0
6595,7.8,8/04/2017,Fletchers,8920.0,0.0,S,Boroondara City Council,Camberwell,2.0,Southern Metropolitan,29 Mabel St,h,3124.0,176.0,-37.8378,4.0,670.0,1930.0,145.089,4.0,2216000.0
6596,6.6,22/05/2016,hockingstuart,2952.0,1.0,S,Port Phillip City Council,Balaclava,1.0,Southern Metropolitan,2/19 Camden St,u,3183.0,59.0,-37.8667,2.0,0.0,1970.0,144.9917,2.0,474000.0
6597,13.9,29/04/2017,Ray,10969.0,2.0,S,Glen Eira City Council,Bentleigh East,2.0,Southern Metropolitan,978 North Rd,h,3165.0,119.0,-37.9076,3.0,557.0,1960.0,145.06799999999998,3.0,959000.0
6598,10.5,27/05/2017,C21,10579.0,2.0,PI,Bayside City Council,Brighton,3.0,Southern Metropolitan,10 Whyte St,h,3186.0,,-37.92465,4.0,373.0,,144.9992,4.0,2385000.0
6599,10.5,25/02/2017,Barry,2947.0,1.0,S,Banyule City Council,Heidelberg Heights,1.0,Eastern Metropolitan,4 Sackville St,h,3081.0,,-37.7483,3.0,590.0,,145.0479,3.0,850000.0
6600,17.4,24/02/2018,HAR,4704.0,6.0,S,Hume City Council,Meadow Heights,1.0,Northern Metropolitan,3a Coorong Ct,u,3048.0,,-37.6428,3.0,335.0,,144.92394,3.0,412000.0
6601,15.5,9/12/2017,Noel,6202.0,2.0,PI,Manningham City Council,Templestowe,3.0,Eastern Metropolitan,9 Wynnewood Ct,h,3106.0,275.0,-37.756440000000005,5.0,585.0,1992.0,145.15528,5.0,1950000.0
6602,14.7,10/09/2016,Ray,3692.0,2.0,S,Kingston City Council,Oakleigh South,2.0,South-Eastern Metropolitan,9 Wicks Ct,h,3167.0,,-37.9355,4.0,581.0,,145.0979,4.0,881500.0
6603,8.2,17/02/2018,Brad,3284.0,0.0,S,Moonee Valley City Council,Strathmore,1.0,Western Metropolitan,19 Mascoma St,h,3041.0,104.0,-37.727940000000004,2.0,717.0,1950.0,144.92021,2.0,1300000.0
6604,5.9,17/03/2018,Marshall,4675.0,2.0,S,Stonnington City Council,Malvern,3.0,Southern Metropolitan,6B Henderson Av,h,3144.0,,-37.84783,4.0,465.0,,145.03492,4.0,5040000.0
6605,11.7,6/05/2017,Ray,5678.0,2.0,S,Monash City Council,Burwood,2.0,Southern Metropolitan,24 Andrews St,h,3125.0,209.0,-37.8493,6.0,665.0,1950.0,145.1283,6.0,1591000.0
6606,14.5,11/02/2017,Barry,1119.0,1.0,S,Brimbank City Council,Keilor Park,2.0,Western Metropolitan,60 Erebus St,h,3042.0,,-37.7216,4.0,697.0,,144.8605,4.0,843000.0
6607,9.9,25/02/2017,Ray,7485.0,2.0,SP,Moreland City Council,Pascoe Vale,2.0,Northern Metropolitan,95 Essex St,h,3044.0,182.0,,4.0,511.0,,144.9401,4.0,985000.0
6608,5.4,24/02/2018,Jellis,10331.0,,S,Boroondara City Council,Kew,,Southern Metropolitan,2/49 Cecil St,t,3101.0,,,,,,,3.0,1515000.0
6609,12.0,3/06/2017,Ray,21650.0,2.0,S,Darebin City Council,Reservoir,1.0,Northern Metropolitan,81 McMahon Rd,h,3073.0,,-37.71086,2.0,649.0,,145.01629,2.0,888000.0
6610,8.8,15/10/2016,Jellis,14577.0,2.0,S,Darebin City Council,Preston,1.0,Northern Metropolitan,103 Raglan St,h,3072.0,,-37.751,3.0,610.0,,145.0197,3.0,971000.0
6611,10.4,7/10/2017,Raine,3464.0,5.0,S,Moonee Valley City Council,Airport West,1.0,Western Metropolitan,18 Glenys Av,h,3042.0,108.0,-37.72285,3.0,536.0,,144.87538999999998,3.0,790000.0
6612,5.6,28/05/2016,Nelson,,1.0,S,Boroondara City Council,Kew,1.0,Southern Metropolitan,43 Kellett Gr,h,3101.0,,-37.7916,3.0,633.0,,145.0352,3.0,1211000.0
6613,16.0,14/10/2017,Buxton,4794.0,1.0,PI,Bayside City Council,Highett,3.0,Southern Metropolitan,72b Beaumaris Pde,t,3190.0,,-37.9493,3.0,,,145.0362,3.0,1175000.0
6614,17.9,24/06/2017,Ray,10529.0,,S,Whittlesea City Council,Mill Park,,Northern Metropolitan,36 Coventry Cr,h,3082.0,,,,,,,3.0,600000.0
6615,13.0,14/05/2016,Stockdale,8870.0,,S,Moreland City Council,Glenroy,,Northern Metropolitan,1/61 Loongana Av,t,3046.0,,,,,,,3.0,642000.0
6616,10.5,6/08/2016,Miles,2947.0,2.0,S,Banyule City Council,Heidelberg Heights,5.0,Eastern Metropolitan,78 Edwin St,h,3081.0,,-37.7521,4.0,599.0,2013.0,145.0505,5.0,1587500.0
6617,3.5,28/10/2017,Nelson,1008.0,0.0,S,Yarra City Council,Princes Hill,2.0,Northern Metropolitan,2 Bowen Cr,h,3054.0,,-37.78212,4.0,,,144.96383,4.0,2980000.0
6618,9.2,20/05/2017,Jellis,10412.0,2.0,S,Boroondara City Council,Glen Iris,1.0,Southern Metropolitan,1/18 Peace St,t,3146.0,,-37.8637,2.0,97.0,1970.0,145.0632,2.0,797000.0
6619,16.3,15/07/2017,Harcourts,8279.0,3.0,S,Whittlesea City Council,Lalor,2.0,Northern Metropolitan,6 Willard Ct,h,3075.0,,-37.66225,4.0,578.0,,145.0116,4.0,660000.0
6620,20.5,11/11/2017,Ray,7969.0,4.0,SP,Whittlesea City Council,South Morang,1.0,Northern Metropolitan,7 Bussell Ct,h,3752.0,122.0,-37.6584,3.0,634.0,1990.0,145.09,3.0,520000.0
6621,5.3,14/10/2017,Ray,11364.0,,SP,Darebin City Council,Northcote,,Northern Metropolitan,112/405 High St,u,3070.0,,,,,,,2.0,585000.0
6622,25.2,18/11/2017,Barry,8459.0,1.0,S,Greater Dandenong City Council,Keysborough,1.0,South-Eastern Metropolitan,,h,3173.0,,-37.9906,3.0,,,145.1838,3.0,675000.0
6623,15.5,26/08/2017,Barry,6202.0,1.0,PI,Manningham City Council,Templestowe,2.0,Eastern Metropolitan,4/14 Glendale Av,t,3106.0,117.0,-37.75875,3.0,,2002.0,145.1317,3.0,790000.0
6624,13.6,27/11/2016,Thomson,3582.0,2.0,SP,Monash City Council,Chadstone,1.0,Southern Metropolitan,23 Jacana St,h,3148.0,105.0,-37.8838,3.0,630.0,1960.0,145.102,3.0,1000000.0
6625,4.6,13/08/2016,Jellis,11308.0,1.0,VB,Boroondara City Council,Hawthorn,1.0,Southern Metropolitan,3/1 Elm St,u,3122.0,50.0,-37.8128,1.0,0.0,1940.0,,1.0,480000.0
6626,7.8,4/06/2016,Jellis,8920.0,,PI,Boroondara City Council,Camberwell,,Southern Metropolitan,5 Gowar Av,h,3124.0,,,,,,,4.0,2285000.0
6627,18.8,15/07/2017,Ray,7113.0,,S,Monash City Council,Mulgrave,,South-Eastern Metropolitan,1/11 Glencairn St,u,3170.0,,,,,,,3.0,760000.0
6628,43.3,14/10/2017,O'Brien,2768.0,2.0,S,Cardinia Shire Council,Officer,2.0,Eastern Victoria,54 Majestic Dr,h,3809.0,179.0,-38.060559999999995,4.0,,2011.0,145.43318,4.0,590000.0
6629,6.1,29/04/2017,McGrath,13240.0,1.0,S,Port Phillip City Council,St Kilda,1.0,Southern Metropolitan,105/60 Wellington St,u,3182.0,54.0,-37.857,2.0,0.0,2004.0,144.9867,2.0,482000.0
6630,3.6,12/08/2017,Collins,2954.0,0.0,,Yarra City Council,Clifton Hill,1.0,Northern Metropolitan,20 Hilton St,,3068.0,,-37.793,2.0,163.0,,144.98763,2.0,973000.0
6631,4.2,17/09/2016,Nelson,5263.0,,S,Melbourne City Council,Kensington,,Northern Metropolitan,2 Peppercorn Wk,t,3031.0,,,,,,,1.0,542000.0
6632,6.9,29/04/2017,Woodards,6232.0,3.0,S,Moonee Valley City Council,Moonee Ponds,2.0,Western Metropolitan,25 George St,h,3039.0,246.0,-37.7615,4.0,431.0,1910.0,144.9094,4.0,955000.0
6633,5.3,12/08/2017,McGrath,11364.0,1.0,SP,Darebin City Council,Northcote,2.0,Northern Metropolitan,40 Gadd St,h,3070.0,,-37.7628,4.0,5.0,,144.99375,4.0,1955000.0
6634,11.4,19/08/2017,Jellis,3578.0,2.0,S,Glen Eira City Council,Ormond,1.0,Southern Metropolitan,347 Koornang Rd,h,3204.0,,-37.90286,3.0,369.0,,145.05425,3.0,1005500.0
6635,16.7,24/02/2018,Barry,15321.0,1.0,S,Monash City Council,Glen Waverley,1.0,Eastern Metropolitan,24 Jordan Gr,h,3150.0,,-37.887679999999996,3.0,718.0,,145.16755,3.0,1350000.0
6636,3.4,26/08/2017,Nelson,3593.0,2.0,SP,Melbourne City Council,Flemington,3.0,Northern Metropolitan,10 Jezabeel Ct,h,3031.0,213.0,-37.785090000000004,4.0,,2005.0,144.92743000000002,4.0,1110000.0
6637,1.6,25/02/2017,Peter,5825.0,,SP,Yarra City Council,Fitzroy,,Northern Metropolitan,2/23 George St,u,3065.0,,,,,,,1.0,308000.0
6638,13.8,22/04/2017,Ray,5420.0,,S,Manningham City Council,Templestowe Lower,,Eastern Metropolitan,33 Sinclair Av,h,3107.0,,,,,,,4.0,1550000.0
6639,5.9,14/05/2016,Brad,6567.0,1.0,S,Moonee Valley City Council,Ascot Vale,1.0,Western Metropolitan,70 Munro St,h,3032.0,117.0,-37.7753,3.0,263.0,1910.0,144.9116,3.0,955000.0
6640,3.2,6/08/2016,Nelson,3106.0,0.0,VB,Melbourne City Council,Carlton North,1.0,Northern Metropolitan,632 Rathdowne St,h,3054.0,,-37.7824,3.0,203.0,,144.9733,3.0,1280000.0
6641,8.5,3/03/2018,McDonald,7485.0,,S,Moreland City Council,Pascoe Vale,,Northern Metropolitan,3/6 Marks St,t,3044.0,,,,,,,3.0,770000.0
6642,16.0,11/11/2017,Buxton,4794.0,,S,Bayside City Council,Highett,,Southern Metropolitan,1/222 Highett Rd,h,3190.0,,,,,,,3.0,1045000.0
6643,20.8,8/07/2017,iSell,7412.0,2.0,S,Greater Dandenong City Council,Springvale,1.0,South-Eastern Metropolitan,13 Boonah St,h,3171.0,,-37.95612,3.0,572.0,,145.1494,3.0,1016000.0
6644,11.2,3/12/2016,hockingstuart,8801.0,2.0,VB,Stonnington City Council,Malvern East,2.0,Southern Metropolitan,41 Emo Rd,h,3145.0,,-37.8757,4.0,758.0,,145.0518,4.0,2400000.0
6645,8.2,3/12/2016,Village,5058.0,2.0,S,Maribyrnong City Council,West Footscray,2.0,Western Metropolitan,8 View St,h,3012.0,,-37.7914,3.0,355.0,1950.0,144.8742,3.0,1074000.0
6646,10.5,29/07/2017,Marshall,10579.0,1.0,PI,Bayside City Council,Brighton,1.0,Southern Metropolitan,6/30 Roslyn St,u,3186.0,,-37.92545,2.0,138.0,1980.0,145.00277,2.0,760000.0
6647,6.8,28/10/2017,Williams,6380.0,2.0,S,Hobsons Bay City Council,Williamstown,2.0,Western Metropolitan,14 Hosking Ct,h,3016.0,164.0,-37.85759,3.0,260.0,1994.0,144.87951999999999,3.0,1260000.0
6648,10.3,18/11/2017,Buxton,6938.0,4.0,S,Bayside City Council,Brighton East,4.0,Southern Metropolitan,4 Baird St,t,3187.0,836.0,-37.9294,4.0,832.0,,145.0114,4.0,2530000.0
6649,13.9,3/09/2016,Buxton,10969.0,,S,Glen Eira City Council,Bentleigh East,,Southern Metropolitan,68 Pasadena Cr,h,3165.0,,,,,,,3.0,1057000.0
6650,14.2,17/03/2018,Stockdale,13366.0,1.0,S,Monash City Council,Mount Waverley,1.0,Eastern Metropolitan,56 Alice St,h,3149.0,,-37.8677,4.0,738.0,,145.12696,4.0,1378000.0
6651,13.0,27/11/2016,Stockdale,8870.0,,S,Moreland City Council,Glenroy,,Northern Metropolitan,10 Justin Av,,3046.0,,,,,,,2.0,685000.0
6652,10.8,3/09/2016,Barry,3589.0,4.0,S,Maribyrnong City Council,Braybrook,2.0,Western Metropolitan,132 Duke St,h,3019.0,,-37.7824,3.0,700.0,,144.8469,3.0,870000.0
6653,3.0,14/10/2017,Marshall,3280.0,0.0,S,Port Phillip City Council,Albert Park,1.0,Southern Metropolitan,103 Kerferd Rd,h,3206.0,77.0,-37.84588,2.0,122.0,1890.0,144.95559,2.0,1330000.0
6654,13.8,9/12/2017,hockingstuart,10969.0,2.0,PI,Glen Eira City Council,Bentleigh East,2.0,Southern Metropolitan,55 Kennedy St,h,3165.0,,-37.91962,3.0,,,145.07963999999998,3.0,1200000.0
6655,2.6,10/09/2016,Biggin,14949.0,1.0,SP,Yarra City Council,Richmond,1.0,Northern Metropolitan,229/253 Bridge Rd,u,3121.0,56.0,-37.8183,1.0,3516.0,2011.0,144.9979,1.0,439000.0
6656,7.9,22/08/2016,Miles,5549.0,2.0,S,Banyule City Council,Ivanhoe,2.0,Eastern Metropolitan,2/53 Norman St,u,3079.0,,-37.7679,2.0,147.0,1980.0,145.0467,2.0,845000.0
6657,7.5,7/05/2016,Jellis,6482.0,4.0,S,Boroondara City Council,Hawthorn East,3.0,Southern Metropolitan,1051 Burke Rd,h,3123.0,,-37.8205,3.0,459.0,,145.0585,3.0,1615000.0
6658,21.5,11/11/2017,Barry,2243.0,2.0,S,Kingston City Council,Aspendale Gardens,3.0,South-Eastern Metropolitan,17 Pacific Dr,h,3195.0,,-38.0195,4.0,,,145.124,4.0,1232000.0
6659,12.4,28/10/2017,Barry,5420.0,2.0,S,Manningham City Council,Templestowe Lower,2.0,Eastern Metropolitan,26 Gertrude St,h,3107.0,,-37.76518,4.0,732.0,,145.10458,4.0,1321000.0
6660,14.7,23/09/2017,hockingstuart,15542.0,2.0,S,Wyndham City Council,Point Cook,2.0,,26 Moorgate St,h,,203.0,-37.882740000000005,4.0,,2009.0,144.72521,4.0,712000.0
